Posição;Artista;Música
1;Aretha Franklin;'Respect'
2;Public Enemy;'Fight the Power'
3;Sam Cooke;'A Change Is Gonna Come'
4;Bob Dylan;'Like a Rolling Stone'
5;Nirvana;'Smells Like Teen Spirit'
6;Marvin Gaye;'What’s Going On'
7;The Beatles;'Strawberry Fields Forever'
8;Missy Elliott;'Get Ur Freak On'
9;Fleetwood Mac;'Dreams'
10;Outkast;'Hey Ya!'
11;The Beach Boys;'God Only Knows'
12;Stevie Wonder;'Superstition'
13;The Rolling Stones;'Gimme Shelter'
14;The Kinks;'Waterloo Sunset'
15;The Beatles;'I Want to Hold Your Hand'
16;Beyoncé feat. Jay-Z;'Crazy in Love'
17;Queen;'Bohemian Rhapsody'
18;Prince and the Revolution;'Purple Rain'
19;John Lennon;'Imagine'
20;Robyn;'Dancing on My Own'
21;Billie Holiday;'Strange Fruit'
22;The Ronettes;'Be My Baby'
23;David Bowie;'Heroes'
24;The Beatles;'A Day in the Life'
25;Kanye West feat. Pusha T;'Runaway'
26;Joni Mitchell;'A Case of You'
27;Bruce Springsteen;'Born to Run'
28;Talking Heads;'Once in a Lifetime'
29;Dr. Dre feat. Snoop Doggy Dogg;'Nuthin' but a 'G' Thang'
30;Lorde;'Royals'
31;The Rolling Stones;'(I Can't Get No) Satisfaction'
32;Notorious B.I.G.;'Juicy'
33;Chuck Berry;'Johnny B. Goode'
34;James Brown;'Papa’s Got a Brand New Bag'
35;Little Richard;'Tutti-Frutti'
36;The White Stripes;'Seven Nation Army'
37;Prince and the Revolution;'When Doves Cry'
38;Otis Redding;'(Sittin' On) the Dock of the Bay'
39;Outkast;'B.O.B.'
40;The Jimi Hendrix Experience;'All Along the Watchtower'
41;Joy Division;'Love Will Tear Us Apart'
42;Bob Marley and the Wailers;'Redemption Song'
43;The Temptations;'My Girl'
44;Michael Jackson;'Billie Jean'
45;Kendrick Lamar;'Alright'
46;M.I.A.;'Paper Planes'
47;Elton John;'Tiny Dancer'
48;Radiohead;'Idioteque'
49;Lauryn Hill;'Doo Wop (That Thing)'
50;Daddy Yankee feat. Glory;'Gasolina'
51;Dionne Warwick;'Walk on By'
52;Donna Summer;'I Feel Love'
53;The Beach Boys;'Good Vibrations'
54;Smokey Robinson and the Miracles;'The Tracks of My Tears'
55;Madonna;'Like a Prayer'
56;Missy Elliott;'Work It'
57;Sly and the Family Stone;'Family Affair'
58;The Band;'The Weight'
59;Grandmaster Flash and the Furious Five;'The Message'
60;Kate Bush;'Running Up That Hill'
61;Led Zeppelin;'Stairway to Heaven'
62;U2;'One'
63;Dolly Parton;'Jolene'
64;Ramones;'Blitzkrieg Bop'
65;Earth, Wind, and Fire;'September'
66;Simon and Garfunkel;'Bridge Over Troubled Water'
67;Bob Dylan;'Tangled Up in Blue'
68;Chic;'Good Times'
69;Taylor Swift;'All Too Well'
70;Elvis Presley;'Suspicious Minds'
71;Tracy Chapman;'Fast Car'
72;The Beatles;'Yesterday'
73;Beyoncé;'Formation'
74;Leonard Cohen;'Hallelujah'
75;Pulp;'Common People'
