position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
2	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
3	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
4	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
5	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
6	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
7	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
8	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	undyudQ_llI	2021-01-02T00:17:30Z	2021-01-02 00:17:30	Pandemia: hospitais voltam a ficar superlotados no Amazonas	O estado do Amazonas voltou a sofrer com um novo surto no número casos de Covid-19.	covid,Manaus,hospitais,caos	25	News & Politics	PT1M34S	94	2d	hd	true	https://i.ytimg.com/vi/undyudQ_llI/maxresdefault.jpg	1	18386	622	29	0	280
9	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
10	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
