channelId	channelTitle	videoId	videoTitle	videoDesc	published	latitude	longitude	locationDescription	language
UC_mHaQ2h4erDUJ9AdIpl4Ug	Despertos Not%C3%ADcias	zqlfuO9rxn4	BRASIL RECEBE MAIS DE 5 MIL MINI USINAS DE OXIG%C3%8ANIO SALVAR%C3%81 A VIDA DE MAIS DE 60 MIL PESSOAS	ACESSE NOSSO PORTAL DESPERTOS NOT%C3%8DCIAS%0Ahttp://despertosnoticias.cursosremoto.com	2021-04-23T07:26:10Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCBg-aDiMRqfBdGHMOwveQiQ	Escola de Engenharia Cl%C3%ADnica	QzXMacE8-xw	Consumo de Oxig%C3%AAnio durante o COVID-19 no Brasil e o papel das engenharias cl%C3%ADnica e hospitalar	Traga suas d%C3%BAvidas e ideias pra gente melhorar o uso dos gases medicinais no Brasil! Apoie esta ideia.%0A%2523oxig%C3%AAnio%0A%2523gasesmedicinais%0A%2523engenhariaclinica%0A%2523%2523%2523%2523%2523%2523%2523%0AEste canal %C3%A9 dedicado a todos profissionais que desejam atuar na %C3%A1rea de engenharia cl%C3%ADnica. Uma profiss%C3%A3o projetada para aplicar conhecimentos te%C3%B3ricos e pr%C3%A1ticos de engenharia cl%C3%ADnica e habilidades gerenciais para melhorar e desenvolver os cuidados dispensados ao paciente.%0A%0AQue o espectador comum, possa ter uma ideia dos caminhos que podem melhorar os sistemas de sa%C3%BAde e hospitais no Brasil e em outros pa%C3%ADses.	2021-03-22T11:44:40Z	-3.1190275	-60.0217314	Manaus	pt
UCBg-aDiMRqfBdGHMOwveQiQ	Escola de Engenharia Cl%C3%ADnica	3gkQwBeAEiU	Escassez de oxig%C3%AAnio medicinal, o que DEVEMOS fazer? Homenagem ao colega Kleber Teixeira de Souza	Acabamos de receber a not%C3%ADcia de que nosso colega Kleber continua lutando pela vida. Mantenham suas ora%C3%A7%C3%B5es firmes.%0A%0ATem hora de bancada, de calibra%C3%A7%C3%A3o, manuten%C3%A7%C3%A3o e tem hora de BEIRA DE LEITO.%0A%0AFlux%C3%B4metro em rede com press%C3%A3o maior que 3,5 kgf/cm2, gasta muito mas oxig%C3%AAnio que o necess%C3%A1rio. Respirar um volume de g%C3%A1s a uma press%C3%A3o elevada, facilita a inala%C3%A7%C3%A3o mas, dificulta a exala%C3%A7%C3%A3o, principalmente quando se faz uso da m%C3%A1scara facial, bem ajustada.%0A%0AProtocolos como da ABRAMED/AMIB, precisam ser conhecidos e debatidos tamb%C3%A9m pelos profissionais da engenharia cl%C3%ADnica.%0A%0AJ%C3%A1 passou do tempo de trabalharmos na press%C3%A3o da press%C3%A3o da rede, na redu%C3%A7%C3%A3o de vazamentos, em responder porque a quantidade comprada %C3%A9 muito maior que a quantidade prescrita. Hospitais seguros contra desastres j%C3%A1 teriam vencido este vil%C3%A3o.%0A%0ASegue aqui uma lembran%C3%A7a do Kleber Teixeira de Souza, dando aquela for%C3%A7a pra gente!%0Ahttps://youtu.be/bTeWWLgLcyU%0AConfira e comente, o Kleber sempre dizia, precisamos de engenheiros cl%C3%ADnicos especialistas em SUS. Sugiro seguirem a dica dela. Grande abra%C3%A7o colega, descansa um pouco e vamos pra luta de sempre, pra fazer esse mundinho melhor.%0A%2523engenhariaclinica%0A%2523InvestingInOxygen%0A%2523OxygenAccess%0A%2523WorldPneumoniaDay%0A%2523EveryBreathCounts,%0A%2523OxygenSavesLives%0A%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%0AEste canal %C3%A9 dedicado a todos profissionais que desejam atuar na %C3%A1rea de engenharia cl%C3%ADnica. Uma profiss%C3%A3o projetada para aplicar conhecimentos te%C3%B3ricos e pr%C3%A1ticos de engenharia cl%C3%ADnica e habilidades gerenciais para melhorar e desenvolver os cuidados dispensados ao paciente.%0D%0A%0D%0AQue o espectador comum, possa ter uma ideia dos caminhos que podem melhorar os sistemas de sa%C3%BAde e hospitais no Brasil e em outros pa%C3%ADses.	2021-03-19T02:01:20Z	-3.1190275	-60.0217314	Manaus	pt
UCBg-aDiMRqfBdGHMOwveQiQ	Escola de Engenharia Cl%C3%ADnica	9tdwrG4rFrQ	Tanques de oxig%C3%AAnio e nitrog%C3%AAnio l%C3%ADquido, o que ocorre quando compro mais que utilizo?	Estocar gases medicinais no estado l%C3%ADquido requer uma estrat%C3%A9gia de engenharia e an%C3%A1lise do seu consumo.%0AQuando voc%C3%AA compra mais g%C3%A1s do que necessita, voc%C3%AA acaba perdendo ele para a atmosfera.%0AFazer uma gest%C3%A3o profissional do tanque de oxig%C3%AAnio, leva a uma melhor uso dos recursos financeiros escassos.%0AAssista nossa playlist de gases medicinais e estude mais sobre este tem.%0Aescola@engenhariaclinica.com%0A%2523engenhariaclinica%0A%2523clinicalengineering%0A%2523engenhariaclinica%0A%2523InvestingInOxygen%0A%2523OxygenAccess%0A%2523WorldPneumoniaDay%0A%2523EveryBreathCounts,%0A%2523OxygenSavesLives%0A%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%2523%0AEste canal %C3%A9 dedicado a todos profissionais que desejam atuar na %C3%A1rea de engenharia cl%C3%ADnica. Uma profiss%C3%A3o projetada para aplicar conhecimentos te%C3%B3ricos e pr%C3%A1ticos de engenharia cl%C3%ADnica e habilidades gerenciais para melhorar e desenvolver os cuidados dispensados ao paciente.%0D%0A%0D%0AQue o espectador comum, possa ter uma ideia dos caminhos que podem melhorar os sistemas de sa%C3%BAde e hospitais no Brasil e em outros pa%C3%ADses.	2021-03-13T18:38:58Z	-3.1190275	-60.0217314	Manaus	pt
UCHpw8xwDNhU9gdohEcJu4aA	The Guardian	sfiHWn2E3m0	The Brazilian volunteer delivering oxygen in Covid-struck Manaus	When Thalita Rocha's mother-in-law died due to a lack of available oxygen on a Manaus hospital's Covid ward, she vowed to raise money to deliver oxygen tanks and other lifesaving equipment to the Amazonian city's homes. Jair Bolsonaro's coronavirus policies have led to%C2%A0more than 226,000%C2%A0deaths in Brazil, and as anger rises on the streets and protesters call for his impeachment, Rocha and other volunteers drive around Manaus offering medical kit and hope%0A%0ASubscribe to The Guardian on YouTube %E2%96%BA http://is.gd/subscribeguardian%0A%0ASupport the Guardian %E2%96%BA https://support.theguardian.com/contribute%0A%0AToday in Focus podcast %E2%96%BA https://www.theguardian.com/news/series/todayinfocus%0A%0ASign up for the Guardian documentaries newsletter %E2%96%BA https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update%0A%0AThe Guardian %E2%96%BA https://www.theguardian.com%0A%0AThe Guardian YouTube network:%0A%0AGuardian News %E2%96%BA https://www.youtube.com/guardianwires%0AGuardian Football %E2%96%BA https://www.youtube.com/user/GuardianFootball%0AGuardian Sport %E2%96%BA http://www.youtube.com/c/GuardianSportVideo%0AGuardian Live %E2%96%BA https://www.youtube.com/user/guardianmembership%0AGuardian Culture %E2%96%BA https://www.youtube.com/guardianculturearts	2021-02-04T08:33:51Z	-3.1190275	-60.0217314	Manaus	en-GB
UCUf9tvD7E2lnXZRLzviqx7A	Cb. Nobre	eneRHp4Oi1s	Cilindros de oxig%C3%AAnio	Diante da grande quantidade de pessoas que est%C3%A3o vindo %C3%A0 empresa Carboxi com cilindros industriais para comprar oxig%C3%AAnio, resolvi postar esse v%C3%ADdeo para ajudar %C3%A0queles que t%C3%AAm d%C3%BAvidas em rela%C3%A7%C3%A3o ao modelo e cor de tubos restritos para o uso medicinal...%0A@cb.nobre	2021-01-28T18:46:18Z	-3.1115016	-59.9156168	Carboxi Gases	undefined
UCiPgUy6giR4GZC1Y1I2FVhw	Logistikas	OnQccJAbZt4	Por que %C3%A9 complicado conseguir cilindros de oxig%C3%AAnio?	QUER ANUNCIAR SUA EMPRESA? contato; canallogistikas@gmail.com%0A%0AQuando se abre os notici%C3%A1rios praticamente todos falam sobre a crise de abastecimento de oxig%C3%AAnio que ocorre na cidade de Manaus, artistas como Tirulipa, Whindersson Nunes e outros se mobilizaram para conseguir esse material e salvar vidas mas, existem uma complica%C3%A7%C3%A3o quando se fala em uma carga que %C3%A9 considerada perigosa e dist%C3%A2ncia de transporte.%0A%0AAl%C3%A9m disso existe um hist%C3%B3rico de corrup%C3%A7%C3%A3o e desvio de dinheiro que afeta o sistema de sa%C3%BAde do Amazonas, nesse v%C3%ADdeo eu conto como %C3%A9 o processo de transporte, quanto de oxig%C3%AAnio uma pessoa precisa, Venezuela e mais...%0A%0ACanal: Escola de Engenharia Cl%C3%ADnica%0Ahttps://www.youtube.com/watch?v=JZoPAAoaKuc%0A%0ATikTok: @canallogistikas%0ALinkedin; canallogistikas%0AFacebook:  @logistikasface%0AInstagram; @canallogistikas%0A%0AConte%C3%BAdo exclusivo no Telegram:%0Ahttps://t.me/logistikas%0A%0AQuer ajudar o canal a crescer?%0AAG 3733%0AC/C 52778-5%0ABradesco.%0A%0AJefferson Carlos	2021-01-26T00:00:43Z	-3.1190275	-60.0217314	Manaus	pt
UCnouZbqYNT-kU5Kbnaqtr5Q	Agatha Paes	M5pnvejp5eA	Cilindro de oxig%C3%AAnio - Como proceder?	Cilindro de oxig%C3%AAnio - Como proceder?%0Ainforma%C3%A7%C3%B5es de como se organizar sobre a quest%C3%A3o do oxig%C3%AAnio.%0A%2523informa%C3%A7%C3%A3osalvavidas %2523manaus %0A%2523amazonas %2523oxigenio %2523cilindrodeoxigenio	2021-01-25T05:11:05Z	-3.1190275	-60.0217314	Manaus	undefined
UCz40n1Bj3DkhI1ykQ9R6x8g	Pr Wagner Marins & Ducilene Marins 	QRRCkwjgZIM	Urgente Cilindros de Oxig%C3%AAnio para Manaus Funda%C3%A7%C3%A3o Reviver (Ereni Miranda)	A Funda%C3%A7%C3%A3o Reviver da Igreja Pentecostal Deus %C3%A9 Amor doando cilindros de oxig%C3%AAnio para Manaus%0ANa voz da Presidente da Igreja Pentecostal Deus %C3%A9 Amor Ereni Miranda.%0ADeixe seu Like e Compartilhe %F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%F0%9F%91%8D%0A%F0%9F%91%8D ative o sininho de notifica%C3%A7%C3%B5es %F0%9F%94%94 e Compartilhe %E2%98%91%EF%B8%8F%0ACLIQUE AQUI! https://www.youtube.com/channel/UCz40n1Bj3DkhI1ykQ9R6x8g?sub_confirmation=1	2021-01-24T11:31:51Z	-3.1190275	-60.0217314	Manaus	undefined
UCWBrPvUF7g2B-jLcADSqmcw	Endireita Amazonas	0pd846A9HV4	Mortes, falta de OXIG%C3%8ANIO em MANAUS, %C3%A9 culpa do Bolsonaro? - Golpe! Rodrigo Maia e o Impeachment!	Nos siga nas redes sociais.%0AFacebook: https://www.facebook.com/EndireitaAmazonas%0AInstagram: https://www.instagram.com/endireita_amazonas/	2021-01-21T01:44:56Z	-3.1190275	-60.0217314	Manaus	pt-BR
